001, Red Moon, Youtube與檔案長度差異:	-00:00:00.1896875
002, 【軍歌．和訳】ブリティッシュ・グレナディアーズ（日本語歌詞付き）【ガルパン】, Youtube與檔案長度差異:	00:00:00.2120000
003, Kalafina - Hikari No Senritsu, Youtube與檔案長度差異:	00:00:09.6258125
004, 張雨生 Tom Chang【沒有煙抽的日子】Audio Video, Youtube與檔案長度差異:	00:00:00.2596251
005, Jonathan Lee李宗盛 [ 山丘 ] Official Music Video, Youtube與檔案長度差異:	-00:00:00.1580000
006, Noi!, Youtube與檔案長度差異:	-00:00:00.5431875
007, Kalafina - Kimino Ginno Niwa, Youtube與檔案長度差異:	-00:00:00.3360000
008, Erika - 艾麗卡, Youtube與檔案長度差異:	00:00:00.1600000
009, 動漫主題曲 鋼之鍊金術師 主題曲 不死傳說-陳奕迅 (粵語), Youtube與檔案長度差異:	00:00:00.2205625
010, Byzantine Empire Anime Opening (GREEK DUB), Youtube與檔案長度差異:	00:00:00.3280000
011, halca『瞬間最大風速』Music Video（TVアニメ『魔法使いになれなかった女の子の話』エンディングテーマ）, Youtube與檔案長度差異:	-00:00:00.4560000
012, ClariS 『アリシア』Music Video 【TVアニメ「マギアレコード 魔法少女まどか☆マギカ外伝」エンディングテーマ 】, Youtube與檔案長度差異:	00:00:00.0165000
013, Avril Lavigne - Sk8er Boi (Official Video), Youtube與檔案長度差異:	00:00:00.0480000
014, 羅大佑 - 長征, Youtube與檔案長度差異:	-00:00:00.6000000
015, YOASOBI / manimani (「海のまにまに」English Ver. ), Youtube與檔案長度差異:	-00:00:00.2240000
016, 噪音合作社 無法無天(2002) 04 勞動者靈歌, Youtube與檔案長度差異:	-00:00:00.2799999
017, КИНО — Когда твоя девушка больна Live 2022, Youtube與檔案長度差異:	-00:00:00.6000000
018, 噪音合作社 無法無天(2002) 10 國際歌, Youtube與檔案長度差異:	-00:00:00.2640000
019, The British Grenadiers 不列顛擲彈兵進行曲, Youtube與檔案長度差異:	00:00:10.8560000
020, Choose, Youtube與檔案長度差異:	-00:00:00.1920000
021, British March: The British Grenadiers (Instrumental), Youtube與檔案長度差異:	-00:00:00.0779375
