001 Youtube與檔案長度差異:	-00:00:00.3346875
002 Youtube與檔案長度差異:	-00:00:00.1440000
003 Youtube與檔案長度差異:	00:00:00.2320000
004 Youtube與檔案長度差異:	00:02:24.0160000
005 Youtube與檔案長度差異:	00:00:00.5200000
006 Youtube與檔案長度差異:	-00:00:00.2880000
007 Youtube與檔案長度差異:	00:00:00.2250000
008 Youtube與檔案長度差異:	00:00:00.2400000
009 Youtube與檔案長度差異:	-00:00:00.4320000
010 Youtube與檔案長度差異:	-00:00:00.0320000
011 Youtube與檔案長度差異:	-00:00:00.0880000
012 Youtube與檔案長度差異:	-00:00:00.4080000
013 Youtube與檔案長度差異:	-00:00:00.0720000
014 Youtube與檔案長度差異:	00:00:11.0480000
015 Youtube與檔案長度差異:	-00:00:00.0240000
016 Youtube與檔案長度差異:	00:00:00.1305625
017 Youtube與檔案長度差異:	-00:00:00.4080000
018 Youtube與檔案長度差異:	-00:00:00.0480000
019 Youtube與檔案長度差異:	-00:00:00.2960000
020 Youtube與檔案長度差異:	-00:00:00.0320000
021 Youtube與檔案長度差異:	00:00:00.2640000
022 Youtube與檔案長度差異:	-00:00:00.2450000
023 Youtube與檔案長度差異:	-00:00:00.1360000
024 Youtube與檔案長度差異:	-00:00:00.3440000
025 Youtube與檔案長度差異:	00:00:00.0560000
026 Youtube與檔案長度差異:	-00:00:00.4453750
027 Youtube與檔案長度差異:	00:00:40.2015625
028 Youtube與檔案長度差異:	-00:00:00.4640000
029 Youtube與檔案長度差異:	00:00:00.4320000
030 Youtube與檔案長度差異:	-00:00:00.4720000
031 Youtube與檔案長度差異:	-00:00:00.1600000
032 Youtube與檔案長度差異:	-00:00:00.4400000
033 Youtube與檔案長度差異:	-00:00:00.0480000
034 Youtube與檔案長度差異:	00:00:00
035 Youtube與檔案長度差異:	-00:00:00.3280000
036 Youtube與檔案長度差異:	-00:00:00.2240000
037 Youtube與檔案長度差異:	00:00:00.3440000
038 Youtube與檔案長度差異:	-00:00:00.0480000
039 Youtube與檔案長度差異:	-00:00:00.3920000
040 Youtube與檔案長度差異:	-00:00:00.0560000
041 Youtube與檔案長度差異:	00:00:00.3548750
042 Youtube與檔案長度差異:	-00:00:00.1200000
043 Youtube與檔案長度差異:	-00:00:00.0400000
044 Youtube與檔案長度差異:	-00:00:00.5280000
045 Youtube與檔案長度差異:	-00:00:00.0640000
046 Youtube與檔案長度差異:	-00:00:00.0480000
047 Youtube與檔案長度差異:	-00:00:00.4000000
048 Youtube與檔案長度差異:	-00:00:00.1280000
049 Youtube與檔案長度差異:	-00:00:00.3271875
050 Youtube與檔案長度差異:	-00:00:00.1360000
051 Youtube與檔案長度差異:	-00:00:00.0480000
052 Youtube與檔案長度差異:	-00:00:00.4800000
053 Youtube與檔案長度差異:	00:00:00.3360000
054 Youtube與檔案長度差異:	00:00:00.0082500
055 Youtube與檔案長度差異:	-00:00:00.2080000
056 Youtube與檔案長度差異:	-00:00:00.3680000
057 Youtube與檔案長度差異:	00:00:00.3520000
058 Youtube與檔案長度差異:	00:00:00.3280000
059 Youtube與檔案長度差異:	00:00:00.3600000
060 Youtube與檔案長度差異:	00:00:00.1200000
061 Youtube與檔案長度差異:	00:00:00.1600000
062 Youtube與檔案長度差異:	-00:00:00.1991250
063 Youtube與檔案長度差異:	-00:00:00.0960000
064 Youtube與檔案長度差異:	-00:00:00.1782500
065 Youtube與檔案長度差異:	-00:00:00.2800000
066 Youtube與檔案長度差異:	-00:00:00.1958125
067 Youtube與檔案長度差異:	-00:00:00.0880000
068 Youtube與檔案長度差異:	-00:00:00.4640000
069 Youtube與檔案長度差異:	00:00:00.1840000
070 Youtube與檔案長度差異:	00:00:00.1465625
071 Youtube與檔案長度差異:	00:00:00.0160000
072 Youtube與檔案長度差異:	00:00:00.4720000
073 Youtube與檔案長度差異:	-00:00:00.2383750
074 Youtube與檔案長度差異:	-00:00:00.0800000
075 Youtube與檔案長度差異:	00:00:00.4720000
076 Youtube與檔案長度差異:	-00:00:00.0800000
077 Youtube與檔案長度差異:	-00:00:00.4319999
